solve_queen
n,number_of_iterations,number_of_moves,time
4,31,8,3.886222839355469e-05
5,16,5,2.6226043701171875e-05
6,197,31,0.0001068115234375
7,45,9,3.814697265625e-05
8,982,113,0.0004487037658691406
9,366,41,0.00017499923706054688
10,1068,102,0.0005078315734863281
11,559,52,0.0002739429473876953
12,3316,261,0.0015077590942382812
13,1464,111,0.0007138252258300781
14,28381,1899,0.013330936431884766
15,21625,1359,0.010212898254394531
16,170749,10052,0.08316802978515625
17,96580,5374,0.04776501655578613

british_museum
n,number_of_iterations,number_of_moves,time
4,123,984,0.0002529621124267578
5,68,544,0.0001480579376220703
6,15930,127440,0.03810906410217285
7,1372,10976,0.0036478042602539062
8,30264,242112,0.10481524467468262

hrss
n,number_of_iterations,number_of_moves,time
4,2,9,2.09808349609375e-05
5,5,12,3.0994415283203125e-05
6,33,96,0.0002551078796386719
7,26,68,0.000247955322265625
8,19,47,0.00020885467529296875
9,62,146,0.0008158683776855469
10,737,1633,0.012263059616088867
11,259,553,0.005167961120605469
12,894,1846,0.01975107192993164
13,4399,8641,0.1101980209350586
14,1186,2208,0.03336310386657715
15,2984,5483,0.09580397605895996
16,2175,3883,0.0783381462097168
17,1318,2277,0.05191230773925781
18,6787,11477,0.2997720241546631
19,8590,14197,0.41716504096984863
20,26493,43041,1.4140050411224365
21,43441,69075,2.516597032546997
22,18205,28411,1.1446969509124756
23,35635,54808,2.430678129196167
24,170583,258629,12.563173055648804
25,121896,181718,9.689275979995728
26,35916,52982,3.061816930770874
27,499608,726870,45.56539583206177
28,306524,441463,29.937320947647095
29,40469,57668,4.213726043701172
30,981907,1384687,108.90104913711548
31,409655,571061,48.114402055740356
32,417283,577233,52.07620406150818
33,2524833,3457002,334.96450090408325
34,410143,557311,57.33704400062561
35,2569638,3461494,379.3911259174347
36,546781,731518,86.43090605735779
37,342419,455000,56.20621180534363
38,1106937,1460066,190.62042903900146
39,587837,769837,106.08342385292053
40,8555479,11143834,1682.2537472248077
